id,quality_service,speed_service,quality_product,value_for_money,overall_sat
1,7,6,7,7,7
2,1,1,4,3,1
3,5,4,2,6,2
4,1,2,4,2,6
5,4,2,3,2,1
6,1,6,1,6,1
7,2,5,4,7,2
8,5,4,7,6,3
9,4,1,7,5,4
10,7,7,3,5,5
11,3,2,5,2,1
12,7,2,6,7,6
13,6,4,5,6,7
14,1,1,6,7,4
15,5,5,5,5,7
16,5,6,6,5,6
17,5,7,6,7,6
18,5,6,6,6,7
19,7,7,7,6,7
20,7,7,6,7,7
21,6,7,5,6,7
22,7,7,6,6,6
23,7,7,5,5,6
24,6,6,5,7,7
25,5,6,6,7,7
26,6,6,6,5,6
27,6,7,7,5,6
28,7,7,6,7,6
29,7,6,5,7,6
30,5,6,5,6,7
31,6,5,6,5,7
32,5,7,7,6,6
33,6,6,5,7,6
34,6,5,7,7,7
35,5,6,5,6,6
36,6,6,7,7,6
37,6,7,7,5,6
38,7,7,5,7,7
39,5,5,7,5,6
40,5,5,6,7,6
41,5,6,6,6,7
42,7,6,6,5,6
43,7,6,5,6,7
44,6,6,7,6,6
45,5,5,6,5,7
46,7,5,5,6,6
47,5,7,6,5,6
48,7,5,7,7,7
49,6,7,6,7,6
50,5,5,6,6,6
51,6,6,5,5,7
52,7,7,7,5,6
53,6,6,6,7,6
54,7,6,7,7,7
55,7,7,5,5,6
56,6,6,5,7,6
57,7,7,6,6,7
58,5,6,6,5,7
59,6,6,6,5,7
60,5,7,6,5,6
61,6,7,7,5,6
62,5,6,6,7,7
63,6,7,6,6,6
64,5,5,7,6,7
65,7,6,5,6,6
66,6,6,5,5,7
67,6,7,5,6,7
68,7,6,5,7,6
69,6,7,7,6,6
70,7,5,7,6,7
71,7,6,7,7,7
72,7,6,7,6,7
73,7,5,5,7,7
74,6,6,7,5,6
75,7,6,5,7,7
76,5,5,5,6,6
77,6,7,5,5,6
78,7,7,5,7,7
79,6,5,5,5,7
80,5,5,6,7,7
81,6,5,5,6,7
82,6,7,6,5,7
83,6,5,6,5,6
84,6,6,6,7,7
85,6,6,5,5,6
86,6,7,7,5,6
87,5,5,6,6,7
