climb_id,climb,height_gain_m,average_gradient,length_km,max_gradient,url,description
1,Cheddar Gorge,150,5.00%,3.5,16.00%,https://cyclinguphill.com/cheddar-gorge/,"The Cheddar Gorge Climb is an exhilarating road cycling challenge located in the heart of Somerset, England. With a total ascent elevation reaching approximately 150 meters (m), this climb stretches over a lengthy distance of about 3.5 kilometers (km). Cyclists can expect to face varying conditions on their way up with an average gradient of around 5%, although there is no shortage of challenging moments, as the maximum recorded incline reaches steep at 16%. For enthusiasts eager to test their mettle against this historic climb or simply looking for a thrilling cycling experience in one of England's most picturesque landscapes, you can find more information and detailed route insights by visiting the official Cheddar Gorge Climb page at https://cyclinguphill.com/cheddar-gorge/."
2,Weston Hill,165,9.00%,1.8,18.00%,https://cyclinguphill.com/100-climbs/weston-hill-bath/,"Weston Hill, standing at a towering height gain of 165 meters and spanning just over one kilometer in length, presents cyclists with an exhilarating challenge on their journey through the UK's road cycling scene. With an average gradient of approximately 9%, Weston Hill is no gentle slope; it demands skill, strength, and endurance from riders determined to conquer its steep incline—especially when considering that climbers can face a maximum gradient reaching up to 18%. This impressive British hill ranks among the top 100 cycling challenges in terms of difficulty. To learn more about Weston Hill's statistics and history, visit this page: [https://cyclinguphill.com/100-climbs/weston-hill-bath/](https://cyclinguphill.com/100-climbs/weston-hill-bath/)"
3,Crowcombe Combe,188,15.00%,1.2,25.00%,https://cyclinguphill.com/100-climbs/crowcombe-combe/,"Crowcombe Combe is a challenging road climb featured in the top UK cycling routes, offering an impressive ascent over its length of approximately 1 kilometer (km). With an average gradient reaching up to 15.0%, cyclists can expect steep inclines throughout this course. The total height gain on Crowcombe Combe is around 188 meters (m), with a maximum grade that peaks at a formidable 25.0%. This climb stands out among the top UK road cycling challenges, requiring both strength and endurance to conquer its steep slopes over just under one kilometer of distance.

For those interested in exploring more about Crowcombe Combe or other significant British hill climbs for cyclists, you can visit [https://cyclinguphill.com/100-climbs/crowcombe-combe/](https://cyclinguphill.com/100-climbs/crowcombe-combe/) to find detailed information and additional resources on this demanding cycling route or others of a similar nature in the UK."
4,Porlock,372,12.00%,4.9,25.00%,https://cyclinguphill.com/porlock-hill-climb/,"Porlock Hill, a challenging climb featured in the top road cycling routes across the UK's landscapes, offers riders an elevation gain of approximately 372 meters over its lengthy ascent. With an average gradient steeply inclined at around 12%, cyclists can expect to face significant resistance on this climb; however, it peaks with a maximum grade reaching up to 25%. The total distance covered during the Porlock Hill cycling challenge spans approximately 4.9 kilometers (about four and three-quarters of a mile), presenting not just an ascent but also rewarding riders upon completion due to its scenic surroundings, particularly when viewed from above on this well-known climb in southwest England. For more detailed information about the route specifics including start points, elevation profiles, and topographical details of Porlock Hill or other UK road cycling challenges, visit [https://cyclinguphill.com/porlock-hill-climb/](https://cyclinguphill.com/porlock-hill-climb/)."
5,Dunkery Beacon,326,10.00%,3.2,17.00%,https://cyclinguphill.com/100-climbs/dunkery-beacon/,"Dunkery Beacon, a formidable climb featured on the UK's list of top road cycling challenges for amateur riders, demands respect and preparation from all who undertake it. Standing at an impressive height gain of 326 meters (1075 feet), Dunkery Beacon stretches over a lengthy route that spans approximately 3.2 kilometers (2 miles). The climb is characterized by its variable topography, where cyclists experience the rigors and rewards associated with such terrain elevation changes.

Averaging an incline of around 10%, Dunkery Beacon's gradient demands a considerable level of fitness from riders as they make their way upward toward the summit. The climb begins mildly but rapidly becomes more challenging, with its maximum gradient peaking at approximately 17%. This steep incline tests even experienced cyclists and provides an exhilarating testament to endurance and power-sustaining pedaling technique required for such a demanding ascent.

As Dunkery Beacon stands high in the UK's top ten list of climbs, it has become both feared by novice riders and sought after by more seasoned cyclists aiming to conquer this formidable gradient challenge on two wheels. For those interested in learning even more about such an exhilarating route or seeking advice for tackling its ascent successfully, further information can be found at the following URL: [https://cyclinguphill.com/100-climbs/dunkery-beacon/](https://cyclinguphill.com/100-climbs/dunkery-beacon/)."
6,Exmoor Forest,406,4.00%,11,12.00%,https://cyclinguphill.com/100-climbs/exmoor-forest-climb/,"Exmoor Forest is a challenging climb for road cyclists in the UK, featuring an impressive average gradient of 4.0% over its length of approximately 11 kilometers (6.8 miles). Riders can expect to face varying terrain and gradients with Exmoor's maximum incline reaching up to 12.0%. This climb ranks among the top 100 toughest ascents in Britain, making it a favorite for experienced cyclists looking to test their limits on this scenic yet demanding route.

For more information and insights into Exmoor Forest's unique characteristics as one of the UK’s hardest climbs, visit [https://cyclinguphill.com/100-climbs/exmoor-forest-climb/](https://cyclinguphill.com/100-climbs/exmoor-forest-climb/)."
7,Challacombe,166,11.00%,1.5,25.00%,https://cyclinguphill.com/100-climbs/challacombe/,"The Challacombe climb stands as a formidable challenge in the top UK road cycling routes, featuring an average gradient of approximately 11%. This ascent stretches over a distance of just under one kilometer and culminates at a height gain of about 166 meters. The most severe incline on this course reaches up to 25%, presenting riders with significant technical hurdles that test their endurance, strength, and climbing prowess. For enthusiasts seeking detailed information regarding Challacombe or other esteemed UK cycling ascents within the top-100 listings, further details can be found at [https://cyclinguphill.com/100-climbs/challacombe/](https://cyclinguphill.com/100-climbs/challacombe/)."
8,Dartmeet,125,11.00%,1.1,18.00%,https://cyclinguphill.com/100-climbs/dartmeet-climb/,"Dartmeet, one of the top road cycling climbs in the UK, challenges riders with a steep incline and varying gradients throughout its course. Rising to an elevation gain of 125 meters over just under one kilometer (0.97 km), Dartmeet features several sections where cyclists must navigate slopes averaging around 11% gradient, peaking at a daunting maximum ascent angle of 18%. This climb tests both the endurance and strength of road riders looking to conquer its demanding terrain.

For more information on this formidable challenge in British cycling topography: [https://cyclinguphill.com/100-climbs/dartmeet-climb/](https://cyclinguphill.com/100-climbs/dartmeet-climb/)"
9,Haytor Vale,335,6.00%,5.4,12.00%,https://cyclinguphill.com/100-climbs/haytor-vale/,"Haytor Vale stands as a formidable challenge for road cyclists in the UK, featuring an impressive elevation gain of 335 meters over its course of just 5.4 kilometers. With average gradients reaching up to 6.0%, riders will be tested on their endurance and climbing skills throughout this demanding ascent. The steepest sections offer a daunting max gradient of 12.0%. Cyclists seeking more detailed information about Haytor Vale's topographical characteristics can explore further by visiting the following resource: [Haytor-Vale Climb Details](https://cyclinguphill.com/100-climbs/haytor-vale/)."
10,Widecombe,163,12.00%,1.4,16.00%,https://cyclinguphill.com/100-climbs/widecombe-hill/,"Widecombe Hill, located in the UK and featuring a challenging climb for road cyclists, stands at an elevation gain of 163 meters over its length of approximately 1.4 kilometers (0.87 miles). The average gradient throughout this ascent is recorded to be around 12.0%, indicating steep inclines that will test even the most skilled riders' endurance and strength. At times, cyclists can face maximum gradients reaching up to a formidable 16.0%. This climb ranks among the top challenges in road cycling within the UK for those seeking an adrenaline-pumping test of their capabilities on two wheels.

For more information about Widecombe Hill, cyclists can visit its official site at [https://cyclinguphill.com/100-climbs/widecombe-hill/](https://cyclinguphill.com/100-climbs/widecombe-hill/)."
